HR,Name,DM,HD,SAO,FK5,IRFlag,r_IRFloag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs1900,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B ,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
2493,,CD-27 324,48938,172264,,,,,,,,6,40,52.4,-,27,14,47,6,44,51.9,-,27,20,29,237.03,-13.42,6.45,,,0.54,,-0.02,,,,G2V,,-0.011,0.308,,0.062,-12,V?,,,,,,,,
2638,,CP-56 121,52622,234825,,,,,,,,6,56,43.5,-,56,15,19,6,58,36.2,-,56,23,41,266.49,-21.37,6.45,,,0.39,,,,,,F2II,,-0.030,-0.028,,,-3,,,,,,,,,
2656,,BD-09 181,53240,152308,,,,,,,,6,59,12.9,-,9,58,34,7,3,57.3,-,10,7,27,223.36,-1.85,6.45,,,-0.08,,-0.31,,,,B9IIIn,e,-0.025,-0.011,,,24,,,,,,,,,*
2780,,BD+15 154,57049,96783,,,,,,,,7,14,25.1,+,15,19,39,7,20,6.9,+,15,8,34,202.43,13.08,6.45,,,-0.02,,0.07,,,,A2Vn,,0.011,-0.017,,,13,SB,,,,,,,,
3060,,CD-24 606,64042,174658,,,,,6414,,,7,46,46.6,-,24,16,23,7,51,0.0,-,24,31,42,241.37,1.08,6.45,,,-0.01,,-0.06,,,,A0,,-0.012,-0.023,,,-7,,,,,3.5,0.9,,,
3069,,CD-44 378,64181,219059,,,,,,,,7,47,31.8,-,44,19,30,7,50,42.4,-,44,34,47,258.72,-9.09,6.45,,,0.90,,,,,,G6III,,-0.022,0.021,,,33,V,,,,,,,,
3221,,BD+60 111,68457,14479,,,,,6680,,,8,7,24.8,+,60,40,58,8,15,50.5,+,60,22,50,156.59,33.69,6.45,,,0.20,,0.11,,,,A7Vm,,-0.013,0.007,,,-16,,,,,4.1,48.6,AC,4,*
3261,,CD-29 589,69879,175543,,,,,,,,8,13,54.2,-,29,41,33,8,17,58.3,-,30,0,12,249.20,3.22,6.45,,,1.04,,,,,,K0III,,0.041,0.014,,,-12,,,,,,,,,
3424,,BD+08 209,73599,116997,,,,,,,,8,34,2.5,+,8,22,13,8,39,24.6,+,8,1,2,218.16,27.62,6.45,,,1.08,,0.99,,,,K1III,,-0.025,-0.037,,,17,,,,,,,,,
3446,,BD-11 243,74190,154558,,,,,,,,8,37,24.0,-,11,36,29,8,42,9.8,-,11,57,58,237.26,18.06,6.45,,,0.16,,0.13,,,,A5m,,-0.031,-0.022,,,2,,,,,,,,,
3608,,BD+59 121,77692,27121,2716,,,,,,,8,58,57.2,+,59,44,36,9,6,43.1,+,59,20,40,156.59,40.15,6.45,,,0.04,,0.13,,,,A2V,,-0.014,-0.010,,,2,SB,,55,,,,,,
